text_orig,EDPatience
RT @Onision: TAKE A LOOK AT THAT ANOREXIC YOUTUBER'S INSTAGRAM AND PRAY TO FUCKING GOD SHE GETS HELP HOLY FUCK!!!,0
"As a recovering anorexic, the pandemic has been fucking rough for me. I’ve had moments where I withheld food/purged. My anxiety has been sky high. But these past few weeks I’ve been healthy. Working out and eating right. I know I’ll have off days, but today I’m proud of myself https://t.co/nA4V1K8VWV",1
I just saw someone comment on a ticktock that anorexia is a disability BITCH...,1
"Honestly, this fuckin app has been a great binge/night eating perventer, I'll just slap in the 18 hr fast on as soon as I'm at my calorie limit. I'll be too scared to break the fast so I will simply Not Do It and then after the 18 hrs is over I can eat again https://t.co/BNwWz4uAjU",1
You can’t tell people with depression to just be happy. So what makes you think you can tell people with anorexia to just eat? Or to tell people with bulimia to just have a good relationship with food?,1
"This strategy was successful in a randomized trial for inpatient treatment of #anorexia nervosa, reported @AndreaGarber2, PhD, RD, of @UCSF, in @JAMAPediatrics. #EatingDisorder #medtwitter https://t.co/Q6PiDfXyuW",0
Thaw food diet internalized fatphobia me: [tries to stop binge eating] all how-to's: EAT BREAKFAST me: well fuck.  I can't eat breakfast it makes me feel sick and nauseous for the whole day. What do.. I'm gonna be fat forever a?,1
Peru that also triggers my binge eating tendencies and *tw* bulimia.,1
"I was stressed and ate a whole bowl of pasta, where's my badge for being the worst anorexic #edtwt",1
also ffs stop calling yourself anorexic — ummm :( https://t.co/tYg4T6A6qY,1
"If I'm supposedly ""not anorexic"" BC I'm overweight then what am I? Op cmon now",1
"🇪🇸 #Spain has a #palmoil problem and it is nothing to do with #food 🍪 The country imports millions of tonnes from countries such as #Indonesia and #Malaysia 📊 https://t.co/FnjYHw0n5D  Via ✍️  @CristinaSuarezv, @guilleciro (@elConfidential) @transenv @RSPOtweets",0
"I'm genuinely confused because for most people I used to know, and me included, eating disorder was a gradual process. It started small and then felt worse and worse and worse. It felt like a need to restrict/binge. Not a snap of a finger type of start.",1
"Omg yes, this is what anorexia really is. Don’t let the media fool you.",1
"CW: Alcohol, food, drugs Two shots down at 10am... I don't have a problem right lol? RI.. right????😅",1
Pretty proud of this ✨transformation ✨ with the help of @katieaustin! Kicked anorexia’s ass 💪🏻💪🏻 https://t.co/FEfb2Eohoa,1
"We are doing, is it bad to protest about failed government no good road, no lights, no food, please you people should come to our aid Nigeria is in big problem#ENDBADGOVERMENT @UN @renoomokri @UN @BBCWorld @cnni @AJEnglish",0
Skinny People were thin because I'd rather hunger #anorexia,1
"Your one vote for Modi has pushed millions of Indians into hunger &amp; poverty. Next time a kid knocks on your car window at a traffic signal, asking for food/money, just know that you're part of the problem that put him on the street. #GlobalHungerIndex2020",0
I can’t believe I have anorexia like if I have more than 500 calories in a day I get so upset about it,1
You can make your point without invalidating someone else's struggle.  Being called anorexic isn't a fun experience too. What's the point of pulling each other down?,1
Literally eating one meal a day from now until thanksgiving so I can binge eating that whole weekend.,1
"my friends and family: *worrying about my weightless, commenting on my lack of eating, calling me anorexic as a joke* my disordered ass: SO YOU THINK IM SKINNNNYYYYYYYYYYYYYY",1
A senior GP has described continuing national failures to protect patients with anorexia at the inquest into the death of a university student. https://t.co/pGjI2DMFFl,0
"I've seen students sleeping through online lectures at home. Joining for the sake of attendance. Lying in bed with laptop on chest. No schedule of bathing, sleeping or eating. Excessive eating. Netflix binge watching. Relying on Google for online open exams &amp; scoring even better",0
"I’ve struggled nearly my whole life with mental illness. I suffered from severe abuse and trauma as a child and this has resulted debilitating complex PTSD, depression, generalized anxiety and ADHD. I have won my battle with anorexia, but still struggle with body image issues.",1
"Honestly, I’ve been stuck in the worst restrict binge cycle ever and it’s getting worse and I gained a lot of weight and I was so much happier in recovery :( I just wanna be okay",1
Shwoogity 😎 #proana #bullimia #ana #anorexia https://t.co/982MmiVThJ,1
"Ugh, I'm fkn cold all the time someone pls tell me I'm the best anorexic",1
Struggle of overeating or even binge eating? Watch my latest video &amp; finally quit #bingeeating 😊              https://t.co/ChtWnxK1UB #diet #healthylifestyle #healthyeating https://t.co/CzJo9n0Svl,0
"Ike that the 900 + case is still restriction and I can lose weight eating more and exercising, but I either binge or eat 200 calls a day",1
I don’t know whether to try more high restriction because only eating like 200cals makes me binge more often. High restriction do be scary too,1
Like as a woman how do we ever win? Like when cooking.. you have no idea how much every kid or adult will eat so it’s always a guess and if you make too much and food goes to waste it’s a problem. You make too little and everyone is still starving.. literally can't win 😕,0
searched “anorexia” and honestly thinspo https://t.co/RColCri0Wu,1
I’m class 2 obese. I used to be anorexic. I want to lose half my body weight just to spite my ex. I struggle to lose weight because I starve myself and then binge. I have a love/hate relationship with carbs and chocolate because I chase dopamine.,1
"@pussy4prezident Because that’s what society has created for young women growing up. Instead of loving who they are and what they have they glorify the unhealthy bodies from mental issues like anorexia, also body augmentation.",0
Anorexic people just need a snickers. You aren't you when you're hungry.,0
"Higher-calorie diets could lead to a speedier recovery in patients with anorexia nervosa, study shows https://t.co/mipX3nrhHN #mentalhealth #diet #anorexia",0
#AnorexiaNervosa – A Father and Daughter Perspective -Highlights from RCPsychIC 2019  #EatingDisorders #mentalhealth  https://t.co/iq3GH5ce6C,0
" thank you for replying, I just described some of my feelings Ed wise and because I also told her I had a lot of anxiety she gave me this (told my mom therapists tend to give a low amount to people who suffer from anorexia) but we're getting a second opinion from another therapist",1
Do not waste time thinking about what you could have done differently. Keep your eyes on the road ahead and do it differently now. #anorexia #eatingdisorder #recovery #nevergiveup #alwayskeepfighting https://t.co/YalYzclBDM,0
The #Syndemic propaganda is hitting on a global level. https://t.co/XYkEnKS5pk Read my post covering this new narrative that’s playing out https://t.co/7KEb4xdAwU  Or watch part 1 of my video presentation https://t.co/nCcaNP6EaR https://t.co/v1UG5ZoqSr,0
"If you struggle with binge eating, binge eating disorder, emotional eating or food addiction, getting thin (ner) won't fix your childhood experiences. ⠀ Watch this: ⁣https://t.co/T6dPFcqrXE⠀ https://t.co/HlWSX1v0Ow",0
"I'm not the perfect anorexic by any means, but at least my period is always 1-2 weeks later 😅",0
"Yes, I am best anorexic. Why? I don't drink diet soda BC its nasty and water tastes better",1
@POTUS = Nationalist  @JoeBiden = Segregationist  We have no chance of substantial change w/ Joe  NO  Healthcare  Cannabis food is our healthcare Jim Crow made food a felony to stop folks from smoking a vegetable ~  #COVID19 endorses @BernieSanders #NotMeUs #ForThePeople #vote,0
@USNewsHealth @TestKitchen to keto dieters food preparation is the key to your success. The problem is finding the perfect meal for your needs. Get your free keto recipe book here https://t.co/9jbsFCTXTQ,0
He will put more than 2 million out of work. Most fast-food chains will go automated. Which will put several million people out of work. 3.5 million just from fast food. Then he will close the mines. Greatly reduce the oil and gas workers. He doesn't think and that's a problem.,0
Eating disorder inquest: Anorexia monitoring nationally 'a deep concern' https://t.co/nnRAzMlRKB,0
"why am I only gaining .4 a day when I’m eating like fucking crazy, I remember I used to be able to binge and gain like 3 pounds overnight?",1
all of the replies being like no calories I am the worst anorexic,1
The problem extends to the Food and Drug Administration and National Institutes of Health datasets used in a recent study appearing in Reproductive Toxicology. #ai #technology #BigData #ML https://t.co/DFvh6gNA38,0
Giving #PPP to gyms and restaurants while doing NOTHING about the pandemic was a waste.   Why keep employees when you have no customers? Paying The People to could keep gym memberships and order restaurant food would have done so much more good than giving trillions to airlines.,0
my sister-in-law called me an anorexic after I really pushed myself and finished my entire breakfast at a restaurant 🤡 wtf,1
Claiming that an EATING DISORDER is misogynistic feeds into the idea that men don't have it. Take several seats,0
"New to edtwt!! ⋆ ♥ Zeph ♥ edtwt/thinspo/fatspo/meanspo ♥ I like pop (?)  ♥ current bmi: 13,7 ♥ KW: 40 kg ♥ I don't have a gw yet ♥ my dreams are open for venting or support! :D rt/like to be moot!! If :)) #EDtwt #thinsp0 #fatspo #meansp0 #bodycheck #anorexia https://t.co/9tUZmd9noF",1
More than 50 percent of individuals with anorexia nervosa have a co-occurring disorder.  https://t.co/L6cQEze8ty https://t.co/eYPm9pjqsc,0
"Food insecurity, like COVID, hasn’t affected New Yorkers equally-but tackling this problem is going to take all of us working together. Every day #CUCSConnects help New Yorkers access SNAP and other income support to keep individuals and families fed.  How can you get involved? https://t.co/lzPwaT1Rjw",0
"Most people are soft. We've been raised to believe that any little bit of hunger is a problem and we need a junk snack to rescue us from the big bad wolf of hunger. Toughen up, go for a walk, and implement a regular meal schedule of real food.",0
Eating disorder inquest: Anorexia monitoring nationally 'a deep concern' https://t.co/jVq3AexRRm,0
"Food insecurity, like COVID, hasn’t affected New Yorkers equally - but tackling this problem is going to take all of us working together. Every day #CUCSConnects helps New Yorkers access SNAP and other income support to keep individuals and families fed. https://t.co/Zm3ONWdMoU",0
"@dietpepsibleep also zoos and golf layout, you are def the BEST anorexic!!",1
"Better economy, smaller government with lower taxes made with strong business models, more people working &amp; tax for government with a stronger economy.  Democrats will have us in food lines and taxed into the poor house.",0
New study suggests higher serum NFL levels in women with anorexia nervosa 30 years after onset. https://t.co/4mTSpQZ9hi #publicationalert https://t.co/3Onk74LfDg,0
my brother caught me laughing at the anorexia stock photos… bye 🚶‍♀️🚶‍♀️🚶‍♀️ https://t.co/AJIO8BZ7Pw,0
"We were told we could keep our current health insurance coverage.  That was a lie.  Police abuse in black communities was still very much a problem.  People were given free phones, a lot of food stamps &amp; allowed to stay on the dole.   #USPolitics",0
"Yeah, I’m anorexic, but I still eat these bitches up https://t.co/mgEjlIhp65",1
"Binge eating happens to all of us, whether due to addiction or emotional trauma. Today, I’m joined by @GlennLivingston to talk about how he cured himself of binge eating by following four simple rules.  Listen in here: https://t.co/Ajqps6HnUX https://t.co/qEPrMdyTd1",0
"In largest randomized clinical trial in the US, a faster feeding approach with higher calories yields promising results for youth suffering from #malnutrition due to #anorexia nervosa https://t.co/aO00NwZbmZ @AndreaGarber2",0
Prophet Elvis Mbonye released healing to someone who had a problem with swallowing food. Faridah received healing that very day. She is perfectly healed. #ProphetElvisMbonye https://t.co/Lx3qHKK2QD,0
Now the Old Man is complaining about what he WON’T eat for dinner after refusing all menu suggestions for b-fast. Any helpful suggestions for an anorexic man with a picky appetite?,0
"Food insecurity, like COVID, hasn’t affected New Yorkers equally - but tackling this problem is going to take all of us working together. Every day #CUCSConnects helps New Yorkers access SNAP and other income support to keep individuals and families fed. https://t.co/5ljHQCuwTI",0
someone sauce me one of the “you are the best anorexic” memes,1
Reducing the stigma of anorexia nervosa: a social consensus intervention https://t.co/1npbWsBQU3,0
my grandma has a friend who she only ever refers to as ‘anorexic Liz’ like shit lies is enough I know who you mean 💖,1
My mom literally just screamed at me “ARE YOU A FUCKING ANOREXIC NOW?” because I said I didn't want her spaghetti. Fuck this,1
the problem now is that I need to get food 😭,1
"I'm the worst anorexic, but I also take phat shits at least twice a day so who is the real winner here",1
"Tw// Ed, anorexia// there's actually other eating disorders that should be more talked about 1-otherexia nervous disorder: it when you can only eat ""pure"" foods which can cause hormonal balance, medical problems, lack of nutrition",0
"5- avoidant disorder: extremely picky about their food, lack of appetite  6- anorexia athletica- is someone who's addicted working out, obsessed with their body image which is most common with athletes",0
"Anxiety,  depression  idk  if  anorexia  counts  also  uhnh  idk  do  ADHD  and  PTSD   what  are  those  considered?",1
Currently feeling like the best anorexic #EDtwt https://t.co/1BZPMs8bGU,1
"Man, I didn't even know anorexia is a body type my bad :/ https://t.co/27vmPG1NOi",1
I feel so invalid book I feel like I'm the only one  adult who doesn't have anorexia absjsjsbs,1
spirit eating good and flesh getting anorexic 🔥,1
What a gold star anorexic and how do I become one??,1
Top 10 Most Dangerous Eating Disorders https://t.co/Z2F2Uf4Xkp #anorexia #bed,0
We were talking about my ECG and she was trying to explain how in most cases they come out fine and how I need to avoid thinking “ I failed as an anorexic” if they’re okay and stuff and I just-,1
"“Reading one book is like eating one potato chip.” – Diane Duane ✨ Binge reads, it’s a great way to live. #readthebook https://t.co/I2M400hwY4",0
Nice plug for genetic studies of eating disorders. Current data says that risk for Eating Disorders is passed down genetically.,0
me when I used to eat exactly 9 grams of puffed rice with cinnamon &lt;/3,1
"Today I am 5 pounds away from my goal weight! 🥳🥳🥳 allAll life I have battled with an eating disorder, going from binge eating to starving myself for days. Now I eat all day, stay full, and still lose weight. I’ve always been over weight - obese, and now I’m just normal. Wow 😊 https://t.co/QXNqRjEus3",1
"Though maximum time hair loss problem is genetic, a large number of people who are suffering from hair loss problem due to lack of hair nutrients. Learn which special food items are medically effective for hair loss problem → https://t.co/QI39aEalka  #hair  #healthcare  #fitness",0
"To the great people of AL, MS, WV, KY and so many more Red states, there is a reason all of you are at the bottom of education, bottom of income, top of welfare/food stamp recipients,  it's because you back the GOP and Trumpy/McConnell.",0
"Hot off the presses! Largest clinical trial of refeeding in anorexia nervosa shows that a higher-calorie approach is more efficacious &amp; less costly than lower-calorie refeeding, with no increase in safety events &amp; significant savings in health care costs. https://t.co/F0ciJAORdq",0
"dear anorexia, fuck you, but also come back, I can't keep eating this much 😂",1
"It's already more than a month when I stopped eating healthy and working out. What's up???? My weight is stable, but my binge eating and cravings for inom? Nonstop",1
My problem is binge eating everything in the kitchen and saying it’s about the energy. Have I heard of SLEEP,1
I ate 5 cookies..... I am the worst anorexic ‼️,1
"“Or acting like an anorexic” “you have anorexic tendencies, ”  “yeah, I have for the last 6 years” canvas w mom 👍",0
Just had chicken broth and a rice cake for lunch. I am the best anorexic. /j,1
@jawaidworld7 NO WORK JOB NO MONEY NO FOOD NO ROOM RENT NO SCHOOL FEES CHILDREN PLEASE UNDERSTAND OUR PROBLEM #resumeflightsIND_KSA  #resumeflightindiatosaudiarebiya  @DGCAIndia  @airindiain  @FlyWithIX  @flyspicejet  @ksagaca  @Saudi_Gazette  @Saudi_Airlines,0
"Sorry I keep tweeting about anorexia, but my fucking brain does not work and I have shit memory and I can’t even cover it up at work",1
@Saudi_Airlines @jawaidworld7 NO WORK JOB NO MONEY NO FOOD NO ROOM RENT NO SCHOOL FEES CHILDREN PLEASE UNDERSTAND OUR PROBLEM #resumeflightsIND_KSA  #resumeflightindiatosaudiarebiya  @DGCAIndia  @airindiain  @FlyWithIX  @flyspicejet  @ksagaca  @Saudi_Gazette  @Saudi_Airlines,0
#LoneWarriorSidharthShukla After his exit I don't think worth watching this backwash season nobody arguing for any valid point.. All problems related to food and eating... Yelog sirf @RubiDilaik khanekeliye aaya kya kya??!! @ColorsTV @BeingSalmanKhan @eyehinakhan,0
@MoCA_GoI @FlyWithIX @airindiain @AAI_Official @HardeepSPuri @ushapadhee1996 @mygovindia @PIB_India @PTI_News @PawanHansLtd @PMOIndia @jawaidworld7 NO WORK JOB NO MONEY NO FOOD NO ROOM RENT NO SCHOOL FEES CHILDREN PLEASE UNDERSTAND OUR PROBLEM #resumeflightsIND_KSA  #resumeflightindiatosaudiarebiya  @DGCAIndia  @airindiain  @FlyWithIX  @flyspicejet  @ksagaca  @Saudi_Gazette  @Saudi_Airlines,0
Should I feel angry and upset that the resource team cut my clothes Off!? They were presented back to me this afternoon in a hospital career bag! #hospitallife #eupd #anorexia,1
Johnston says that the lowest paid in #manchesterlockdown will get up to 80% of income after it has been topped up with universal credit. Which is a problem if a) you need 100% of your low income just to put food on the table and b) you have to wait weeks for UC.,0
